sample_id,speaker,sample_number,audio_path,blendshape_path,phoneme_path,word_alignment_path,text,duration_sec,n_frames,fps,split_type,split,mapped_transcript_number
spk03_001,spk03,1,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_001.wav,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_001.csv,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_phoneme\spk03_001.txt,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_word\spk03_001.txt,A B V G D Đ E Ž Z I J K L LJ M N NJ O P R S T Ć U F H C Č DŽ Š,32.255646258503404,1932,60,natural,val,
spk03_002,spk03,2,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_002.wav,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_002.csv,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_phoneme\spk03_002.txt,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_word\spk03_002.txt,nula jedan dva tri četiri pet šest sedam osam devet deset,11.903650793650794,711,60,natural,train,
spk03_003,spk03,3,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_003.wav,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_003.csv,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_phoneme\spk03_003.txt,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_word\spk03_003.txt,napred nazad levo desno gore dole,7.1676643990929705,428,60,natural,train,
spk03_004,spk03,4,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_004.wav,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_004.csv,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_phoneme\spk03_004.txt,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_word\spk03_004.txt,potvrdi odustani obriši pošalji dalje početak kraj,9.002312925170068,538,60,natural,train,
spk03_005,spk03,5,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_005.wav,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_005.csv,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_phoneme\spk03_005.txt,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_word\spk03_005.txt,ponedeljak utorak sreda četvrtak petak subota nedelja,8.426326530612245,504,60,natural,train,
spk03_006,spk03,6,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_006.wav,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_006.csv,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_phoneme\spk03_006.txt,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_word\spk03_006.txt,Kod glodara je nađena povećana koncentracija olova.,5.482312925170068,328,60,natural,train,
spk03_007,spk03,7,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_007.wav,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_007.csv,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_phoneme\spk03_007.txt,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_word\spk03_007.txt,Neka drugi to čitaju i neka se snađu.,4.842312925170068,290,60,natural,train,
spk03_008,spk03,8,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_008.wav,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_008.csv,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_phoneme\spk03_008.txt,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_word\spk03_008.txt,"Na trenutak, oči su mu zadrhtale od sreće.",4.522312925170068,271,60,natural,val,
spk03_009,spk03,9,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_009.wav,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_009.csv,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_phoneme\spk03_009.txt,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_word\spk03_009.txt,Trebalo bi da se prihvata onako kako dolazi.,5.055646258503401,301,60,natural,train,
spk03_010,spk03,10,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_010.wav,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\spk03_blendshapes\renamed_spk03\spk03_010.csv,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_phoneme\spk03_010.txt,C:\Users\Administrator\Documents\govorne tehnologije\data\extracted\labels_labels_aligned_20260514t123526z_3_001\labels_aligned\labels_aligned\per_word\spk03_010.txt,Mladić se nasmejao i bacio travčicu u vazduh.,5.567664399092971,332,60,natural,train,
